aggr_num,aagr_area,Mean,StdDev,Min,Max,IntDen,RawIntDen,N,age,treatment,wormID,worm_area
131,0.098,30,0,30,30,2.93,30,N3,L4+1,control,C3_N3_D1,41054.883
132,0.293,65,1,64,66,19.043,195,N3,L4+1,control,C3_N3_D1,41054.883
133,0.195,64,1.414,63,65,12.5,128,N3,L4+1,control,C3_N3_D1,41054.883
134,0.195,31.5,0.707,31,32,6.152,63,N3,L4+1,control,C3_N3_D1,41054.883
135,0.391,53.75,14.127,33,64,20.996,215,N3,L4+1,control,C3_N3_D1,41054.883
136,0.098,31,0,31,31,3.027,31,N3,L4+1,control,C3_N3_D1,41054.883
137,0.098,35,0,35,35,3.418,35,N3,L4+1,control,C3_N3_D1,41054.883
138,0.293,30.333,0.577,30,31,8.887,91,N3,L4+1,control,C3_N3_D1,41054.883
139,0.195,44,2.828,42,46,8.594,88,N3,L4+1,control,C3_N3_D1,41054.883
140,0.195,31.5,2.121,30,33,6.152,63,N3,L4+1,control,C3_N3_D1,41054.883
141,0.098,30,0,30,30,2.93,30,N3,L4+1,control,C3_N3_D1,41054.883
142,0.391,46,15.684,31,61,17.969,184,N3,L4+1,control,C3_N3_D1,41054.883
143,0.098,64,0,64,64,6.25,64,N3,L4+1,control,C3_N3_D1,41054.883
144,0.293,35,4.583,31,40,10.254,105,N3,L4+1,control,C3_N3_D1,41054.883
145,0.098,30,0,30,30,2.93,30,N3,L4+1,control,C3_N3_D1,41054.883
146,0.098,33,0,33,33,3.223,33,N3,L4+1,control,C3_N3_D1,41054.883
147,0.098,41,0,41,41,4.004,41,N3,L4+1,control,C3_N3_D1,41054.883
148,0.488,51.2,10.71,41,66,25,256,N3,L4+1,control,C3_N3_D1,41054.883
149,0.195,30.5,0.707,30,31,5.957,61,N3,L4+1,control,C3_N3_D1,41054.883
150,0.195,53.5,13.435,44,63,10.449,107,N3,L4+1,control,C3_N3_D1,41054.883
151,0.098,31,0,31,31,3.027,31,N3,L4+1,control,C3_N3_D1,41054.883
152,0.098,30,0,30,30,2.93,30,N3,L4+1,control,C3_N3_D1,41054.883
153,0.391,44.5,10.63,36,58,17.383,178,N3,L4+1,control,C3_N3_D1,41054.883
154,0.781,31.75,2.121,30,35,24.805,254,N3,L4+1,control,C3_N3_D1,41054.883
155,2.051,33.81,4.479,30,47,69.336,710,N3,L4+1,control,C3_N3_D1,41054.883
156,0.098,30,0,30,30,2.93,30,N3,L4+1,control,C3_N3_D1,41054.883
157,0.098,30,0,30,30,2.93,30,N3,L4+1,control,C3_N3_D1,41054.883
158,0.098,30,0,30,30,2.93,30,N3,L4+1,control,C3_N3_D1,41054.883
159,0.293,32,2.646,30,35,9.375,96,N3,L4+1,control,C3_N3_D1,41054.883
160,0.391,43.75,12.393,30,60,17.09,175,N3,L4+1,control,C3_N3_D1,41054.883
161,0.098,30,0,30,30,2.93,30,N3,L4+1,control,C3_N3_D1,41054.883
162,0.195,42.5,10.607,35,50,8.301,85,N3,L4+1,control,C3_N3_D1,41054.883
